descripcion,monto,moneda,categoria,subcategoria
Membresía online,1376.14,MXN,compras,digital
Snack en la escuela,1973.64,USD,comida,snacks
Pago de estacionamiento,1149.21,USD,transporte,vehículo personal
Pasaje en autobús,118.05,USD,transporte,público
Pasaje en autobús,2206.09,USD,transporte,público
Compra en Amazon Prime,451.24,MXN,compras,tecnología
Juego nuevo PS5,1952.98,USD,entretenimiento,videojuegos
Agua embotellada,1370.47,MXN,comida,bebidas
Cena en restaurante japonés,1515.36,MXN,comida,restaurantes
Gasolina,262.71,MXN,transporte,vehículo personal
Desayuno en Starbucks,2390.53,MXN,comida,cafeterías
Restaurante Italiano,861.27,MXN,comida,restaurantes
Película en cartelera,2171.74,USD,entretenimiento,cine
Consulta médica,318.82,USD,salud,medicina general
Suscripción a Netflix,268.23,MXN,entretenimiento,streaming
Pago de renta,1318.5,MXN,servicios,renta
Café en el campus,1957.02,MXN,comida,cafeterías
Proteína en GNC,1042.38,USD,salud,bienestar
Adelanto de renta,2424.51,USD,servicios,renta
Adelanto de renta,1925.12,USD,servicios,renta
Plan Telcel mensual,693.46,USD,servicios,telefonía
Factura CFE,2105.77,MXN,servicios,energía
Restaurante Italiano,154.8,USD,comida,restaurantes
Pago de estacionamiento,1478.51,USD,transporte,vehículo personal
Pago de renta,1613.38,USD,servicios,renta
Agua embotellada,2043.83,USD,comida,bebidas
Concierto local,1255.07,USD,entretenimiento,eventos
Boleto para evento cultural,363.02,USD,entretenimiento,eventos
Chequeo dermatológico,986.04,MXN,salud,especialistas
Medicinas en farmacia,1609.4,MXN,salud,medicina general
Decoración para cuarto,1671.61,MXN,compras,hogar
Material para clases,509.37,USD,educación,materiales
Curso online,2340.33,MXN,educación,cursos
Concierto local,2260.89,USD,entretenimiento,eventos
Accesorios para laptop,713.64,USD,compras,tecnología
Inscripción semestre,1015.42,MXN,educación,universidad
Consulta médica,2264.5,USD,salud,medicina general
Boleto de metro,1229.16,MXN,transporte,público
Pasaje en autobús,1106.7,USD,transporte,público
Consulta médica,557.9,MXN,salud,medicina general
Internet mensual,446.19,MXN,servicios,internet
Medicinas en farmacia,340.28,MXN,salud,medicina general
Factura CFE,2488.67,USD,servicios,energía
Medicinas en farmacia,1978.05,MXN,salud,medicina general
Película en cartelera,833.73,USD,entretenimiento,cine
Libros académicos,1453.52,MXN,educación,materiales
Desayuno en Starbucks,2426.62,USD,comida,cafeterías
Botana en OXXO,2387.87,USD,comida,snacks
Pago de Izzi,917.06,USD,servicios,internet
Compra en Steam,1830.26,USD,entretenimiento,videojuegos
Viaje en Uber,640.21,MXN,transporte,privado
Internet mensual,1607.51,USD,servicios,internet
Compra en Walmart,150.4,MXN,compras,supermercado
Plan familiar Spotify,934.07,MXN,entretenimiento,streaming
Compra en Steam,1140.18,USD,entretenimiento,videojuegos
Accesorios para laptop,67.7,USD,compras,tecnología
Recarga de celular,283.35,MXN,servicios,telefonía
Película en cartelera,1232.4,MXN,entretenimiento,cine
Viaje en Uber,471.4,MXN,transporte,privado
Suscripción a Netflix,1471.96,USD,entretenimiento,streaming
Material para clases,1759.63,MXN,educación,materiales
Entrada al cine,668.73,USD,entretenimiento,cine
Ropa en Zara,2464.85,USD,compras,ropa
Viaje en Uber,2360.41,MXN,transporte,privado
Boleto de metro,2357.15,USD,transporte,público
Cena en restaurante japonés,1262.61,USD,comida,restaurantes
Proteína en GNC,751.26,MXN,salud,bienestar
Inscripción semestre,361.95,MXN,educación,universidad
Curso online,2209.82,USD,educación,cursos
Agua embotellada,1495.32,USD,comida,bebidas
Proteína en GNC,939.36,USD,salud,bienestar
Plan Telcel mensual,833.58,MXN,servicios,telefonía
Entrada al cine,2049.82,USD,entretenimiento,cine
Película en cartelera,1817.66,USD,entretenimiento,cine
Internet mensual,1848.18,USD,servicios,internet
Taxi al centro,1124.05,USD,transporte,privado
Suscripción a app de edición,1423.34,USD,compras,digital
Concierto local,2084.51,USD,entretenimiento,eventos
Ropa en Zara,1772.36,MXN,compras,ropa
Factura CFE,914.68,MXN,servicios,energía
Medicinas en farmacia,72.87,USD,salud,medicina general
Vitaminas,1213.8,USD,salud,bienestar
Plan Telcel mensual,2308.48,USD,servicios,telefonía
Restaurante Italiano,1195.49,MXN,comida,restaurantes
Inscripción semestre,1739.41,MXN,educación,universidad
Membresía online,1634.51,MXN,compras,digital
Pasaje en autobús,572.97,USD,transporte,público
Chequeo dermatológico,1194.14,USD,salud,especialistas
Película en cartelera,869.43,MXN,entretenimiento,cine
Cena en restaurante japonés,2124.63,MXN,comida,restaurantes
Pago de Izzi,2104.52,MXN,servicios,internet
Pago de luz CFE,230.27,USD,servicios,energía
Pago de renta,2418.15,MXN,servicios,renta
Pago de Izzi,1775.62,USD,servicios,internet
Consulta médica,1827.7,MXN,salud,medicina general
Taxi al centro,2244.76,MXN,transporte,privado
Membresía online,1617.8,USD,compras,digital
Curso online,108.18,MXN,educación,cursos
Desayuno en Starbucks,2019.65,MXN,comida,cafeterías
Vitaminas,345.58,MXN,salud,bienestar
Curso online,2363.84,USD,educación,cursos
Café en el campus,546.02,USD,comida,cafeterías
Adelanto de renta,526.53,MXN,servicios,renta
Pasaje en autobús,361.32,USD,transporte,público
Pago de renta,1683.96,MXN,servicios,renta
Plan Telcel mensual,1630.76,MXN,servicios,telefonía
Vitaminas,591.97,MXN,salud,bienestar
Juego nuevo PS5,1756.11,MXN,entretenimiento,videojuegos
Libros académicos,2070.63,MXN,educación,materiales
Café en el campus,2361.55,MXN,comida,cafeterías
Restaurante Italiano,391.8,MXN,comida,restaurantes
Libros académicos,1183.26,USD,educación,materiales
Entrada al cine,2283.4,MXN,entretenimiento,cine
Botana en OXXO,2440.87,USD,comida,snacks
Mandado del mes,1162.55,MXN,compras,supermercado
Cita con el dentista,1604.72,MXN,salud,especialistas
Pasaje en autobús,2481.1,USD,transporte,público
Membresía online,2012.81,MXN,compras,digital
Botana en OXXO,2397.97,USD,comida,snacks
Pago de estacionamiento,1929.15,MXN,transporte,vehículo personal
Viaje en Uber,1423.63,MXN,transporte,privado
Pago de estacionamiento,1294.87,USD,transporte,vehículo personal
Recarga de celular,740.42,MXN,servicios,telefonía
Entrada al cine,835.2,MXN,entretenimiento,cine
Pago de Izzi,1178,USD,servicios,internet
Pago de colegiatura,1019.86,USD,educación,universidad
Compra en Amazon Prime,309.89,USD,compras,tecnología
Juego nuevo PS5,469.93,MXN,entretenimiento,videojuegos
Proteína en GNC,458.67,USD,salud,bienestar
Curso online,1320.05,USD,educación,cursos
Café en el campus,1981.96,MXN,comida,cafeterías
Botana en OXXO,2045.8,MXN,comida,snacks
Pago de colegiatura,265.82,USD,educación,universidad
Botana en OXXO,1225.2,MXN,comida,snacks
Inscripción a taller,1260.38,USD,educación,cursos
Boleto de metro,1909.19,MXN,transporte,público
Factura de agua,1241.56,USD,servicios,agua
Inscripción semestre,2231.93,USD,educación,universidad
Suscripción a Netflix,2272.56,USD,entretenimiento,streaming
Desayuno en Starbucks,2033.71,USD,comida,cafeterías
Viaje en Uber,1112.2,USD,transporte,privado
Factura de agua,1476.32,USD,servicios,agua
Decoración para cuarto,2094.75,USD,compras,hogar
Viaje en Uber,1879.95,USD,transporte,privado
Pago de colegiatura,1714.75,MXN,educación,universidad
Compra en Walmart,1645.26,MXN,compras,supermercado
Consulta médica,1049.92,USD,salud,medicina general
Taxi al centro,1550.87,USD,transporte,privado
Inscripción semestre,160.88,USD,educación,universidad
Factura CFE,2029.1,MXN,servicios,energía
Taxi al centro,1029.18,USD,transporte,privado
Libros académicos,2499.13,USD,educación,materiales
Taxi al centro,1029.4,MXN,transporte,privado
Inscripción semestre,1023.33,USD,educación,universidad
Consulta médica,850.91,MXN,salud,medicina general
Pasaje en autobús,2227.36,MXN,transporte,público
Membresía online,1988.66,MXN,compras,digital
Bebida energética,1157.99,MXN,comida,bebidas
Taxi al centro,1111.43,MXN,transporte,privado
Botana en OXXO,839.91,USD,comida,snacks
Desayuno en Starbucks,2144.65,MXN,comida,cafeterías
Entrada al cine,1552.38,USD,entretenimiento,cine
Inscripción a taller,1722.51,MXN,educación,cursos
Película en cartelera,1043.93,MXN,entretenimiento,cine
Pasaje en autobús,1494.21,MXN,transporte,público
Internet mensual,843.24,MXN,servicios,internet
Cita con el dentista,519.78,USD,salud,especialistas
Medicinas en farmacia,1712.33,USD,salud,medicina general
Inscripción semestre,672.63,USD,educación,universidad
Suscripción a app de edición,1448.93,MXN,compras,digital
Compra en Walmart,1974.12,MXN,compras,supermercado
Inscripción semestre,956.9,USD,educación,universidad
Compra en Amazon Prime,1936.97,USD,compras,tecnología
Proteína en GNC,626.18,USD,salud,bienestar
Chequeo dermatológico,198.68,MXN,salud,especialistas
Consulta médica,1247.12,MXN,salud,medicina general
Pago de luz CFE,1355.1,USD,servicios,energía
Adelanto de renta,1770.95,USD,servicios,renta
Medicinas en farmacia,618.99,MXN,salud,medicina general
Decoración para cuarto,1037.46,USD,compras,hogar
Agua embotellada,329.56,USD,comida,bebidas
Proteína en GNC,1963.34,MXN,salud,bienestar
Compra en Walmart,1745.27,MXN,compras,supermercado
Libros académicos,107.17,USD,educación,materiales
Pago de agua,836.13,USD,servicios,agua
Gasolina,1499.71,MXN,transporte,vehículo personal
Café en el campus,1243.28,MXN,comida,cafeterías
Compra en Walmart,1678.22,USD,compras,supermercado
Pago de Izzi,1569.02,MXN,servicios,internet
Juego nuevo PS5,482.28,MXN,entretenimiento,videojuegos
Boleto para evento cultural,592.22,MXN,entretenimiento,eventos
Inscripción semestre,2159.47,MXN,educación,universidad
Factura CFE,470.99,MXN,servicios,energía
Membresía online,1372.24,MXN,compras,digital
Gasolina,1502.49,MXN,transporte,vehículo personal
Medicinas en farmacia,2169.92,USD,salud,medicina general
Curso online,1707.34,USD,educación,cursos
Mandado del mes,644.55,MXN,compras,supermercado
Factura de agua,1708.95,USD,servicios,agua
Pago de renta,2133.07,USD,servicios,renta
Café en el campus,134.65,USD,comida,cafeterías
Pago de agua,1545.7,MXN,servicios,agua
Sudadera nueva,2096.95,MXN,compras,ropa
Decoración para cuarto,1972.6,MXN,compras,hogar
Consulta médica,1074.06,MXN,salud,medicina general
Agua embotellada,2368.74,MXN,comida,bebidas
Restaurante Italiano,1041.89,MXN,comida,restaurantes
Libros académicos,2397.68,MXN,educación,materiales
Boleto de metro,1007.61,USD,transporte,público
Recarga de celular,210.12,USD,servicios,telefonía
Gasolina,2109.95,USD,transporte,vehículo personal
Membresía online,531.49,USD,compras,digital
Agua embotellada,1141.34,MXN,comida,bebidas
Taxi al centro,2343.84,MXN,transporte,privado
Proteína en GNC,1791.56,MXN,salud,bienestar
Cita con el dentista,2193.83,USD,salud,especialistas
Proteína en GNC,1865.14,USD,salud,bienestar
Libros académicos,1621.89,USD,educación,materiales
Compra en Steam,926.47,MXN,entretenimiento,videojuegos
Accesorios para laptop,1279.37,USD,compras,tecnología
Cita con el dentista,2440.62,USD,salud,especialistas
Vitaminas,1587.26,MXN,salud,bienestar
Curso online,1062.86,USD,educación,cursos
Inscripción a taller,1237.89,USD,educación,cursos
Material para clases,186.04,MXN,educación,materiales
Película en cartelera,636.12,MXN,entretenimiento,cine
Inscripción a taller,1845.29,USD,educación,cursos
Snack en la escuela,2096.43,MXN,comida,snacks
Entrada al cine,258.13,MXN,entretenimiento,cine
Plan familiar Spotify,695.65,MXN,entretenimiento,streaming
Pasaje en autobús,839.36,MXN,transporte,público
Pago de Izzi,1787.04,USD,servicios,internet
Pago de colegiatura,161.48,USD,educación,universidad
Consulta médica,574.51,MXN,salud,medicina general
Viaje en Uber,1779.85,MXN,transporte,privado
Snack en la escuela,1718.09,MXN,comida,snacks
Inscripción a taller,613.06,USD,educación,cursos
Vitaminas,1795.66,MXN,salud,bienestar
Boleto de metro,349.04,MXN,transporte,público
Gasolina,827.6,USD,transporte,vehículo personal
Velas aromáticas,1462.73,MXN,compras,hogar
Snack en la escuela,1313.14,USD,comida,snacks
Suscripción a app de edición,2220.98,MXN,compras,digital
Botana en OXXO,415.22,MXN,comida,snacks
Suscripción a app de edición,1317.96,USD,compras,digital
Velas aromáticas,1709.79,USD,compras,hogar
Vitaminas,1948.63,MXN,salud,bienestar
Inscripción a taller,280.24,MXN,educación,cursos
Compra en Steam,1796.04,MXN,entretenimiento,videojuegos
Boleto de metro,1802.21,USD,transporte,público
Chequeo dermatológico,2375.09,USD,salud,especialistas
Botana en OXXO,539.46,USD,comida,snacks
Curso online,1713.85,USD,educación,cursos
Botana en OXXO,1796.06,MXN,comida,snacks
Suscripción a Netflix,1340.29,USD,entretenimiento,streaming
Juego nuevo PS5,1573.86,MXN,entretenimiento,videojuegos
Cena en restaurante japonés,373,MXN,comida,restaurantes
Juego nuevo PS5,55.78,MXN,entretenimiento,videojuegos
Medicinas en farmacia,162.85,USD,salud,medicina general
Inscripción semestre,2105.7,MXN,educación,universidad
Suscripción a app de edición,1974.3,MXN,compras,digital
Suscripción a Netflix,1097.46,MXN,entretenimiento,streaming
Pago de estacionamiento,2187,MXN,transporte,vehículo personal
Sudadera nueva,864.75,MXN,compras,ropa
Proteína en GNC,1448.77,MXN,salud,bienestar
Libros académicos,2068.04,USD,educación,materiales
Compra en Steam,87.81,USD,entretenimiento,videojuegos
Compra en Steam,391.22,MXN,entretenimiento,videojuegos
Pago de Izzi,1453.01,MXN,servicios,internet
Inscripción a taller,370.6,MXN,educación,cursos
Pasaje en autobús,437.81,MXN,transporte,público
Gasolina,2477.8,USD,transporte,vehículo personal
Pago de colegiatura,2245.97,MXN,educación,universidad
Pago de renta,295.32,MXN,servicios,renta
Pago de Izzi,1172.62,MXN,servicios,internet
Plan Telcel mensual,1434.17,MXN,servicios,telefonía
Pasaje en autobús,2077.72,USD,transporte,público
Pago de agua,119.87,MXN,servicios,agua
Inscripción semestre,996.14,USD,educación,universidad
Gasolina,1085.65,USD,transporte,vehículo personal
Internet mensual,1535.27,MXN,servicios,internet
Agua embotellada,1345.35,USD,comida,bebidas
Velas aromáticas,802.19,MXN,compras,hogar
Agua embotellada,1012.53,USD,comida,bebidas
Velas aromáticas,201.15,MXN,compras,hogar
Plan familiar Spotify,2216.87,MXN,entretenimiento,streaming
Vitaminas,2235.45,USD,salud,bienestar
Cita con el dentista,401.43,USD,salud,especialistas
Pasaje en autobús,1791.67,USD,transporte,público
Inscripción a taller,1476.63,USD,educación,cursos
Inscripción semestre,2363.28,USD,educación,universidad
Plan familiar Spotify,294.11,MXN,entretenimiento,streaming
Vitaminas,2361.54,MXN,salud,bienestar
Factura CFE,107.53,MXN,servicios,energía
Concierto local,1949.65,MXN,entretenimiento,eventos
Gasolina,1768.9,USD,transporte,vehículo personal
Boleto de metro,2037.46,MXN,transporte,público
Compra en Amazon Prime,1745.51,USD,compras,tecnología
Concierto local,535.71,MXN,entretenimiento,eventos
Compra en Amazon Prime,2359.65,USD,compras,tecnología
Material para clases,1708.42,USD,educación,materiales
Pago de renta,797.59,USD,servicios,renta
Factura CFE,594.07,MXN,servicios,energía
Bebida energética,498.71,MXN,comida,bebidas
Chequeo dermatológico,165.71,USD,salud,especialistas
Pasaje en autobús,1748.99,MXN,transporte,público
Botana en OXXO,2226.88,USD,comida,snacks
Decoración para cuarto,1907.4,USD,compras,hogar
Factura CFE,1928.32,MXN,servicios,energía
Boleto de metro,1888.8,MXN,transporte,público
Suscripción a app de edición,2010.03,USD,compras,digital
Accesorios para laptop,783.26,USD,compras,tecnología
Entrada al cine,599.89,MXN,entretenimiento,cine
Taxi al centro,1073.65,USD,transporte,privado
Cena en restaurante japonés,2314.98,MXN,comida,restaurantes
Pago de colegiatura,192.78,USD,educación,universidad
Suscripción a Netflix,73.48,USD,entretenimiento,streaming
Compra en Walmart,1939.14,MXN,compras,supermercado
Consulta médica,650.19,MXN,salud,medicina general
Adelanto de renta,811.86,USD,servicios,renta
Compra en Steam,979.75,USD,entretenimiento,videojuegos
Libros académicos,181.27,USD,educación,materiales
Sudadera nueva,642.24,USD,compras,ropa
Membresía online,257.47,MXN,compras,digital
Plan Telcel mensual,847.62,MXN,servicios,telefonía
Botana en OXXO,1989.42,MXN,comida,snacks
Sudadera nueva,434.86,MXN,compras,ropa
Membresía online,2100.59,USD,compras,digital
Chequeo dermatológico,1193.59,USD,salud,especialistas
Velas aromáticas,268.49,USD,compras,hogar
Desayuno en Starbucks,1711.18,MXN,comida,cafeterías
Concierto local,840.8,USD,entretenimiento,eventos
Café en el campus,1698.71,USD,comida,cafeterías
Compra en Steam,325.93,MXN,entretenimiento,videojuegos
Cita con el dentista,749.46,USD,salud,especialistas
Boleto de metro,67.78,MXN,transporte,público
Agua embotellada,217.4,MXN,comida,bebidas
Velas aromáticas,221.55,USD,compras,hogar
Adelanto de renta,2451.29,MXN,servicios,renta
Material para clases,2166.28,MXN,educación,materiales
Pasaje en autobús,1663.33,USD,transporte,público
Pago de renta,1473.77,USD,servicios,renta
Accesorios para laptop,2476.91,USD,compras,tecnología
Factura CFE,1157.28,MXN,servicios,energía
Inscripción semestre,1285.63,MXN,educación,universidad
Libros académicos,879.86,MXN,educación,materiales
Concierto local,1308.68,USD,entretenimiento,eventos
Entrada al cine,1835.11,MXN,entretenimiento,cine
Compra en Steam,799.81,MXN,entretenimiento,videojuegos
Vitaminas,818.4,MXN,salud,bienestar
Snack en la escuela,1799.76,MXN,comida,snacks
Velas aromáticas,1043.17,USD,compras,hogar
Vitaminas,2120.83,USD,salud,bienestar
Boleto para evento cultural,1964.41,MXN,entretenimiento,eventos
Juego nuevo PS5,1234.5,USD,entretenimiento,videojuegos
Proteína en GNC,820.39,MXN,salud,bienestar
Botana en OXXO,1888.55,MXN,comida,snacks
Inscripción a taller,292.78,MXN,educación,cursos
Bebida energética,1322.22,USD,comida,bebidas
Taxi al centro,2301.95,MXN,transporte,privado
Membresía online,1777.44,USD,compras,digital
Café en el campus,479.67,MXN,comida,cafeterías
Inscripción semestre,1287.23,MXN,educación,universidad
Boleto para evento cultural,2054.98,USD,entretenimiento,eventos
Chequeo dermatológico,2486.75,MXN,salud,especialistas
Cena en restaurante japonés,1143.48,MXN,comida,restaurantes
Restaurante Italiano,255.14,USD,comida,restaurantes
Compra en Walmart,824.38,MXN,compras,supermercado
Restaurante Italiano,1543.95,USD,comida,restaurantes
Bebida energética,883.92,USD,comida,bebidas
Película en cartelera,2209.16,USD,entretenimiento,cine
Proteína en GNC,1761.09,USD,salud,bienestar
Café en el campus,1924.86,MXN,comida,cafeterías
Entrada al cine,2047.36,USD,entretenimiento,cine
Medicinas en farmacia,2051.13,MXN,salud,medicina general
Libros académicos,815.21,MXN,educación,materiales
Entrada al cine,1772.45,USD,entretenimiento,cine
Chequeo dermatológico,901.6,USD,salud,especialistas
Viaje en Uber,466.16,USD,transporte,privado
Bebida energética,253.02,MXN,comida,bebidas
Recarga de celular,2433.31,USD,servicios,telefonía
Compra en Amazon Prime,340.49,MXN,compras,tecnología
Viaje en Uber,294.21,USD,transporte,privado
Chequeo dermatológico,109.95,USD,salud,especialistas
Material para clases,789.59,USD,educación,materiales
Mandado del mes,1031.01,USD,compras,supermercado
Snack en la escuela,320.78,USD,comida,snacks
Cena en restaurante japonés,2073.72,USD,comida,restaurantes
Factura CFE,617.5,MXN,servicios,energía
Velas aromáticas,1900.24,USD,compras,hogar
Cita con el dentista,65.04,USD,salud,especialistas
Compra en Amazon Prime,2281.72,USD,compras,tecnología
Material para clases,1123.19,USD,educación,materiales
Suscripción a app de edición,812.1,MXN,compras,digital
Agua embotellada,504.71,MXN,comida,bebidas
Decoración para cuarto,1054.81,MXN,compras,hogar
Inscripción semestre,2356.37,USD,educación,universidad
Pago de luz CFE,1277.7,MXN,servicios,energía
Pasaje en autobús,173.55,USD,transporte,público
Snack en la escuela,2021.16,MXN,comida,snacks
Curso online,2493.1,MXN,educación,cursos
Suscripción a Netflix,2278.16,MXN,entretenimiento,streaming
Libros académicos,1560.95,USD,educación,materiales
Pago de Izzi,2174.98,MXN,servicios,internet
Desayuno en Starbucks,338.58,USD,comida,cafeterías
Pago de colegiatura,2297.38,USD,educación,universidad
Suscripción a app de edición,1891.5,MXN,compras,digital
Suscripción a app de edición,1057.73,MXN,compras,digital
Curso online,1161.82,USD,educación,cursos
Vitaminas,253.49,MXN,salud,bienestar
Pasaje en autobús,892.37,USD,transporte,público
Bebida energética,2022.12,MXN,comida,bebidas
Bebida energética,375.72,USD,comida,bebidas
Taxi al centro,1711.04,USD,transporte,privado
Adelanto de renta,281.85,MXN,servicios,renta
Accesorios para laptop,82.4,USD,compras,tecnología
Mandado del mes,481.02,MXN,compras,supermercado
Ropa en Zara,1821.24,USD,compras,ropa
Accesorios para laptop,1949.89,MXN,compras,tecnología
Vitaminas,2237.97,USD,salud,bienestar
Desayuno en Starbucks,1273.16,USD,comida,cafeterías
Concierto local,736.44,USD,entretenimiento,eventos
Desayuno en Starbucks,1241.11,MXN,comida,cafeterías
Factura CFE,891.09,USD,servicios,energía
Pago de agua,763.73,MXN,servicios,agua
Vitaminas,1655.24,MXN,salud,bienestar
Plan Telcel mensual,829.18,USD,servicios,telefonía
Libros académicos,978.6,MXN,educación,materiales
Vitaminas,821.52,USD,salud,bienestar
Suscripción a app de edición,1056.48,USD,compras,digital
Gasolina,1219.86,MXN,transporte,vehículo personal
Factura CFE,1674.74,MXN,servicios,energía
Botana en OXXO,1335.3,USD,comida,snacks
Compra en Steam,2116.79,USD,entretenimiento,videojuegos
Proteína en GNC,1854.44,USD,salud,bienestar
Vitaminas,633.72,MXN,salud,bienestar
Accesorios para laptop,1073.31,MXN,compras,tecnología
Curso online,1313.13,USD,educación,cursos
Accesorios para laptop,318.1,MXN,compras,tecnología
Chequeo dermatológico,1244.11,USD,salud,especialistas
Adelanto de renta,1471.8,MXN,servicios,renta
Inscripción a taller,1184.64,MXN,educación,cursos
Compra en Steam,359.72,MXN,entretenimiento,videojuegos
Bebida energética,1240.85,MXN,comida,bebidas
Pago de renta,596.19,MXN,servicios,renta
Curso online,452.59,USD,educación,cursos
Inscripción semestre,354.24,USD,educación,universidad
Decoración para cuarto,1741.5,USD,compras,hogar
Gasolina,2441.41,MXN,transporte,vehículo personal
Bebida energética,983.84,MXN,comida,bebidas
Vitaminas,572.17,MXN,salud,bienestar
Suscripción a Netflix,2063.73,MXN,entretenimiento,streaming
Pago de renta,702.09,MXN,servicios,renta
Gasolina,529.34,MXN,transporte,vehículo personal
Compra en Steam,147.26,USD,entretenimiento,videojuegos
Restaurante Italiano,2386.18,USD,comida,restaurantes
Plan familiar Spotify,2476.96,USD,entretenimiento,streaming
Desayuno en Starbucks,1750.98,MXN,comida,cafeterías
Taxi al centro,2164.51,USD,transporte,privado
Juego nuevo PS5,2316.15,MXN,entretenimiento,videojuegos
Plan familiar Spotify,52.25,MXN,entretenimiento,streaming
Restaurante Italiano,195.86,MXN,comida,restaurantes
Decoración para cuarto,563.63,USD,compras,hogar
Sudadera nueva,896.07,USD,compras,ropa
Internet mensual,226.81,USD,servicios,internet
Material para clases,232.84,USD,educación,materiales
Cena en restaurante japonés,1571.96,MXN,comida,restaurantes
Taxi al centro,460.88,USD,transporte,privado
Material para clases,2119.84,USD,educación,materiales
Café en el campus,1034.58,MXN,comida,cafeterías
Pago de Izzi,843.59,USD,servicios,internet
Boleto de metro,799.34,USD,transporte,público
Chequeo dermatológico,82.95,MXN,salud,especialistas
Chequeo dermatológico,1680.74,MXN,salud,especialistas
Cena en restaurante japonés,1001.18,USD,comida,restaurantes
Compra en Steam,1526.92,USD,entretenimiento,videojuegos
Viaje en Uber,1219.37,USD,transporte,privado
Pago de estacionamiento,461.28,MXN,transporte,vehículo personal
Plan familiar Spotify,1496.88,USD,entretenimiento,streaming
Medicinas en farmacia,1983.54,USD,salud,medicina general
Agua embotellada,430.61,USD,comida,bebidas
Velas aromáticas,1399.82,MXN,compras,hogar
Adelanto de renta,1900.5,USD,servicios,renta
Compra en Walmart,1657.84,MXN,compras,supermercado
Desayuno en Starbucks,1423.7,USD,comida,cafeterías
Inscripción a taller,2330.05,MXN,educación,cursos
Sudadera nueva,1582.77,MXN,compras,ropa
Viaje en Uber,1059.24,MXN,transporte,privado
Inscripción a taller,2208.41,MXN,educación,cursos
Juego nuevo PS5,2328.68,MXN,entretenimiento,videojuegos
Boleto para evento cultural,253.54,MXN,entretenimiento,eventos
Membresía online,2204.62,MXN,compras,digital
Membresía online,1442.78,USD,compras,digital
Sudadera nueva,1586.01,USD,compras,ropa
Proteína en GNC,823.58,MXN,salud,bienestar
Cita con el dentista,2087.2,USD,salud,especialistas
Recarga de celular,1853.89,USD,servicios,telefonía
Plan familiar Spotify,2221.57,MXN,entretenimiento,streaming
Inscripción semestre,300.01,MXN,educación,universidad
Ropa en Zara,1988.06,USD,compras,ropa
Internet mensual,1660.72,USD,servicios,internet
Internet mensual,881.91,USD,servicios,internet
Libros académicos,1686.79,MXN,educación,materiales
Membresía online,72.63,MXN,compras,digital
Ropa en Zara,1985.45,USD,compras,ropa
Inscripción semestre,748.25,USD,educación,universidad
Compra en Steam,2026.65,MXN,entretenimiento,videojuegos
Material para clases,830.64,USD,educación,materiales
Inscripción semestre,1332.08,USD,educación,universidad
Pago de renta,1903.47,MXN,servicios,renta
Desayuno en Starbucks,1354.75,USD,comida,cafeterías
Gasolina,624.83,MXN,transporte,vehículo personal
Inscripción semestre,275.26,USD,educación,universidad
